FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8,Theta,Phi
0.0406823719125137,0.696424870605443,0.0607458768598934,0.13872086725091,0.422838190385132,0.180344690049583,0,1,-85,80
1,0.189159214035409,0.0885611683152176,0,0.41063004935756,0.0180956503339274,0.116129710646313,0.0675711620010046,-85,85
0.53704477312869,0.0109524514149341,0.285269830980563,0.0502364129216748,1,0.0574518088405298,0.295117294127072,0,-85,90
0.0609052496455146,1,0.114015941201893,0.031014149709729,0.572315903607786,0,0.0734643951650155,0.976708419084316,-80,-90
0,0.821781177826028,0.678974939521865,0.967372377047469,0.732251742766603,1,0.707031380103738,0.622103038403767,-80,-85
0.46849819939728,0.474659956475012,0.819081857297986,1,0,0.995544025160066,0.887226151001668,0.855265197890959,-80,-80
0.423425597956963,0.980582881549775,0.717671741630456,0.336590202452619,0,0.316551969554616,0.747202162584667,1,-80,-75
0,0.96958275887837,0.587030616714218,0.855734351581507,0.83969721619064,0.913203258027085,0.584617698345209,1,-80,-70
0,0.591830319703718,0.369809306265574,0.78217713380474,1,0.760460635909999,0.340101260278631,0.469708774221598,-80,-65
0,1,0.531366542418128,0.621317649757683,0.209336852735547,0.618982470168141,0.529120726397669,0.998810071818754,-80,-60
0,0.647864211127279,1,0.521063578671067,0.607923297704877,0.467963394823721,0.969778303732643,0.996770621256304,-80,-55
0.391115816891988,1,0.451568004611546,0.36085910911314,0,0.386930632018219,0.463666973542518,0.667848895374606,-80,-50
0.589972485477246,1,0.585047244317673,0.76677432193417,0,0.76677432193417,0.585047244317673,1,-80,-45
0.284729297474399,0.299230984594233,0.978859019866173,0,0.560850709815179,0.0290294103707438,1,0.386559704366054,-80,-40
0.942024065610359,0.514530013727886,0.0292108977318158,0.164750697610762,1,0.181413429863906,0,0.17235747355292,-80,-35
1,0,0.475079984335537,0.404720163185128,0.221199221104147,0.416257799871656,0.488438718153688,0.101441765828531,-80,-30
0.0312220038222178,0.358216097566563,0,1,0.317813702521047,0.978909789380153,0.0648471581918363,0.664751638523964,-80,-25
0.0773111598685214,0.616443465115635,0.285300337776312,1,0,0.962580743819227,0.338936717535573,0.831024740819956,-80,-20
0,0.278266057736943,1,0.152758825750147,0.0891057290493915,0.168722072811526,0.984179286086629,0.295959671578555,-80,-15
0.0337407691903663,0.328672559948012,1,0.327521911289508,0,0.352387855147453,0.977897384588605,0.526719144875033,-80,-10
0.0528446163183677,1,0.00579062146927832,0.0455368737972618,0.183772554728166,0,0.0347403705578132,0.863088842069044,-80,-5
0.302264035687687,0.0480412271296682,0.922092997611605,0,0.503400158765535,0.0566374505538351,1,0.0736089026752381,-80,0
0.149951926775617,0.334768075591538,0.0725446178119756,1,0.249753808476054,0.998197090436738,0,0.312722757090087,-80,5
1,0.52647031503023,0.12275202606899,0,0.191645905987721,0.0395319738615529,0.0246944413022368,0.761748177874671,-80,10
0.226954497728727,0.43300386717657,0.0522472009435224,0,1,0.00481190329098038,0.0555336877198128,0.146293761664716,-80,15
0.613893125024305,0.824797332745832,0.575953947089488,0,0.994975644260731,0.0370475197647554,0.625939293633928,1,-80,20
0.655971709795637,0.863053340635146,0.161275246918322,0.00784581306981664,1,0,0.159938190831833,0.909756659699976,-80,25
1,0.492109470967891,0.065463275615398,0.0963465888682074,0,0.0964209091953399,0.0655298448328241,0.494240586883539,-80,30
0,0.940296484014168,0.229668037425004,0.99778313516271,0.423343346158516,1,0.238991715260206,0.997482076125983,-80,35
1,0.471407001636222,0.300144019260981,0.433405234445066,0,0.412218219727301,0.319437891165224,0.362976963399498,-80,40
0.0440823240195717,1,0.563875884026494,0.621279964670954,0,0.649004816771141,0.604009170109936,0.889700599596417,-80,45
0.520961229756182,0.763471576139871,0.97109921548611,0.557794695680072,0,0.528844953137111,1,0.744895859555221,-80,50
0,0.548841151280979,0.526341879456188,0.990982383654762,0.188704824540205,1,0.525913193917149,0.597996044182474,-80,55
1,0.289513146616556,0.475511917355481,0.53803102078074,0,0.537910506145578,0.475467492340193,0.288333344304133,-80,60
0.56339850407775,0.557489223723043,0.00612464653003359,0.991528379679636,0.829572162263761,1,0,0.611712231134101,-80,65
0.0490377287877676,0.249577229319395,0.722752014631928,1,0,0.953087747989929,0.792945238426323,0.470087734624539,-80,70
0,0.551251035522563,0.510279773024886,0.976965514127903,0.963662912438581,1,0.45242963191971,0.838080450479384,-80,75
0.0397040372476439,0.719813485801139,0.443102332064297,0.00331443848332511,0.0660697702282059,0,0.344759698286337,1,-80,80
0,0.833786003755703,0.988265589792669,0.898822985634238,0.686065185780357,0.935737146976888,1,0.532203802527899,-80,85
